Source,Filename,Bedreiging,Categorie,Citaat
knmi,52,Afname van het aantal stormen in de Britse Eilanden over een bepaalde periode.,Ecologisch,"For the shorter period 1903–1999, however, adjusted wind observations do show a decrease in the decadal number of storms exceeding 50 knots."
knmi,52,Geen robuuste trends in stormintensiteit in de Noordzee.,Ecologisch,Other datasets do not indicate long-term trends in storm intensity.
knmi,52,Afname van de stormfrequentie in Nederland over een lange periode.,Ecologisch,Surge information for the Netherlands shows a decrease in storm frequency over the period 1890–2008.
knmi,52,Negatieve tendens in de jaarlijkse stormen en gerelateerde schade-index in Nederland.,Ecologisch,Cusack (2012) found a weak negative tendency for the decadal running mean of the annual number of damaging storms and a related storm loss index.
knmi,52,Afname van de stormigheid in de Duitse Bocht over een lange periode.,Ecologisch,But when the record is extended to include the period up to 2012 a tendency for decreasing wind speed in the upper percentiles becomes visible.
knmi,52,Daling van het aantal gale dagen in Wenen over een lange periode.,Ecologisch,"For Vienna, the number of gale days (above 8 Bft, 17.2 m s[−][1]) show a clear decrease for the period 1872–1992."
knmi,52,De negatieve trend in sterke winden in Zürich.,Ecologisch,The duration of strong winds (>7 Bft) also shows a negative trend for Zürich for 1871–1991 except in winter.
knmi,52,De inconsistenties tussen stormactiviteit en drukobservaties over zee.,Ecologisch,"inconsistencies between 20CR and pressure-based storm indices over data-sparse regions increase back in time as the number of assimilated stations by 20CR, mainly over sea areas, decreases."
knmi,52,De toename van stormactiviteit in de NE Atlantische regio.,Ecologisch,Different studies mainly based on reanalysis data show positive trends in storm activity over the NE Atlantic and North Sea.
knmi,52,De noordelijke verschuiving van stormsporen.,Ecologisch,the northeast shift in the position of storm tracks over the last 40–60 years.
knmi,52,De afname van cycloonactiviteit in de zuidelijke gematigde breedtes.,Ecologisch,the trend pattern of decreasing cyclone activity for southern midlatitudes and increasing trends north of 55–60°N after around 1950.
knmi,52,De onzekerheid in lange historische wind- en drukobservaties.,Ecologisch,Uncertainties remain not only for long historical wind and pressure observations.
knmi,52,De sterke opwarmingstrend van de afgelopen decennia.,Ecologisch,the warming trend of recent decades is strong enough to be discernible in local temperature observations.
knmi,52,De extreme seizoenen in de eerste decennium van de 21ste eeuw.,Ecologisch,The first decade of the 21st century was characterised by some extreme seasons.
knmi,52,De temperatuurstijging in de Noordzee-regio.,Ecologisch,the trend in annual averaged daily mean temperature is approximately 0.38 °C decade[−][1]
knmi,52,De toename van warme extremen in Europa.,Ecologisch,Europe’s climate has seen more warm extremes.
knmi,52,De afname van het aantal vorstdagen in West-Europa.,Ecologisch,the number of frost days has declined almost everywhere
knmi,52,De toename van het aantal zomerse dagen in West-Europa.,Ecologisch,the number of summer days has also increased almost everywhere
knmi,52,De onzekerheid in temperatuurdata door ruimtelijke interpolatie.,Ecologisch,the uncertainties indicate that although it is not possible to be 100 % certain about the ranking of individual years
knmi,52,De invloed van atmosferische circulatie op temperatuurvariabiliteit.,Ecologisch,modes of interannual winter DTR variability are strongly related to the NAO
knmi,52,De inconsistentie in ruimtelijke veranderingen van temperatuurindices.,Ecologisch,The change in these indices is not spatially consistent
knmi,52,De toename van de nachtmarine luchttemperatuur.,Ecologisch,the night marine air temperature (NMAT) also increased over the period 1856–2010
knmi,52,De stijgende temperaturen op land en zee kunnen leiden tot een onbalans in het ecosysteem.,Ecologisch,"temperatures have clearly increased over land, the NMAT shows there has also been an increase over the North Sea"
knmi,52,De toename van atmosferische waterdamp kan leiden tot intensivering van neerslag.,Ecologisch,the atmospheric water vapour content is likely to rise due to the increase in saturation water vapour pressure with air temperature
knmi,52,"De frequentie van extreme neerslag kan toenemen, wat leidt tot een verhoogd risico op overstromingen.",Ecologisch,Evidence of higher amounts and more extreme precipitation has already been reported
knmi,52,"De trends in jaarlijkse neerslag zijn positief, wat kan leiden tot veranderingen in waterbeheer.",Ecologisch,Trends in annual land precipitation are positive almost everywhere over the North Sea region for the period 1951–2012
knmi,52,De afname van terugkerende periodes van extreme neerslag kan leiden tot meer frequente overstromingen.,Ecologisch,overall decreasing trend in return periods of extreme precipitation
knmi,52,De veranderingen in neerslagpatronen kunnen invloed hebben op de landbouwproductie.,Economisch,significant decadal-level changes in many regions
knmi,52,De toename van extreme neerslag in Noord-Europa.,Ecologisch,Northern Europe shows a (significant) increase in R95pTOT.
knmi,52,De verandering in de verdeling van neerslag door extreme weersomstandigheden.,Ecologisch,extremes may have increased disproportionally and thus the shape of the distribution may have changed.
knmi,52,De inconsistentie in neerslagmetingen over de Noordzee.,Technologisch & digitaal,"Almost no in situ measurements exist, which means it is necessary to rely on satellite observations."
knmi,52,De variabiliteit van neerslag in vergelijking met temperatuur.,Ecologisch,"Generally speaking, precipitation is more variable than temperature, and agreement between datasets is less."
knmi,52,De problemen bij het afleiden van neerslagtrends door verschillende datasets.,Economisch,"there are considerable differences between the various estimates of precipitation, even in reasonably data-rich regions like the North Sea."
knmi,52,Verhoogde frequentie van extreme neerslaggebeurtenissen.,Ecologisch,indications that extreme precipitation events have become more extreme
knmi,52,Afname van de globale hoge bewolking.,Ecologisch,A decrease has been observed in global high cloud cover over almost all land regions since 1971
knmi,52,Veranderingen in de stralingsbalans door variaties in bewolking.,Ecologisch,variations in cloudiness are of great interest in relation to rising global temperatures
knmi,52,Afname van de zonnestraling op aarde.,Ecologisch,decreasing irradiances on the order of 6–9 W m[−][2] (corresponding to a decline of 4–6 % over 30 years) after the mid-1950s
knmi,52,Veranderingen in de luchtkwaliteit door menselijke activiteiten.,Gezondheid,air-quality regulations have led to a decline in air pollution
knmi,52,Invloed van aerosoldeeltjes op de stralingsbalans en luchttemperatuur.,Ecologisch,Aerosol particles influence the radiation budget and hence air temperature in two ways
knmi,52,Veranderingen in de atmosferische circulatie in de Noordzee-regio.,Ecologisch,It is not obvious how atmospheric circulation has changed in the North Sea region over the last roughly 200 years.
knmi,52,Afname van het zee-ijs in de Arctische regio.,Ecologisch,the recent decrease in Arctic sea ice and cold winters in several areas of Europe.
knmi,52,Versterking van de Atlantische Meridionale Overturning Circulatie (AMOC).,Ecologisch,its strength has actually increased.
knmi,52,Onzekerheid over de bijdrage van menselijke activiteiten aan klimaatverandering.,Ecologisch,it is unclear which part of the observed atmospheric changes is due to anthropogenic activities and which is internally forced.
knmi,52,Verandering in het aantal extreme weersomstandigheden.,Ecologisch,Another open question is whether there have been changes in extreme weather events.
knmi,52,Kwaliteitsproblemen van klimaatdata door inconsistentie in meetmethoden.,Technologisch & digitaal,causing data quality issues and thus consistency problems within the time series of sunshine duration data.
knmi,52,Tekort aan gedigitaliseerde klimaatdata voor analyses.,Technologisch & digitaal,the existing sunshine duration database for the open sea is insufficient for climate analyses.
knmi,52,Verandering in de frequentie van diepe cyclonen.,Ecologisch,There are signs of an increase in the number of deep cyclones.
knmi,52,Verandering in de persistentie van circulatietypes.,Ecologisch,the persistence of circulation types has increased over the last century or so.
knmi,52,Onzekerheid over de trends in neerslag.,Ecologisch,"it is difficult to deduce long-term trends; however, there are indications of longer precipitation periods."
knmi,52,Veranderingen in de atmosferische circulatie door klimaatverandering.,Ecologisch,Role of Arctic sea ice in global atmospheric circulation: A review.
knmi,52,Extreme weersomstandigheden in Europa.,Ecologisch,Winter 2010 in Europe: A cold extreme in a warming climate.
knmi,52,Veranderingen in neerslagpatronen in Europa.,Ecologisch,Daily precipitation concentration across Europe 1971–2010.
knmi,52,Verhoogde frequentie van windstormen in de Noordelijke Halfrond.,Ecologisch,Interdecadal variations in Northern Hemisphere winter storm track intensity.
knmi,52,Verhoogde frequentie van hittegolven in West-Europa.,Ecologisch,Doubled length of western European summer heat waves since 1880.
knmi,52,Langdurige stijging van stormactiviteit in Europa.,Ecologisch,Reanalysis suggests long-term upward trends in European storminess since 1871.
knmi,52,Veranderingen in neerslagpatronen in het VK.,Ecologisch,A regional frequency analysis of United Kingdom extreme rainfall from 1961 to 2000.
knmi,52,Verhoogde intensiteit van tropische cyclonen.,Geopolitiek & militair,Hurricane Gonzalo and its extratropical transition to a strong European storm.
knmi,52,Veranderingen in atmosferische circulatie door klimaatverandering.,Ecologisch,Climate modelling: Northern Hemisphere circulation.
knmi,52,Toename van luchtvervuiling door antropogene emissies.,Gezondheid,Evolution of anthropogenic and biomass burning emissions of air pollutants at global and regional scales during the 1980–2010 period.
knmi,52,Verhoogde frequentie van intense neerslag.,Ecologisch,Trends in intense precipitation in the climate record.
knmi,52,Veranderingen in zeespiegeldruk door menselijke invloed.,Geopolitiek & militair,Detection of human influence on sea-level pressure.
knmi,52,Veranderingen in de atmosferische circulatie.,Ecologisch,Atmospheric circulation variability in Europe and northern Asia (1901 to 2010).
knmi,52,Toename van golfhoogtes in de Noord-Atlantische Oceaan.,Ecologisch,Increases in wave heights over the North Atlantic: A review of the evidence and some implications for the naval architect.
knmi,52,Variabiliteit van de hydrologische cyclus door wereldwijde opwarming.,Ecologisch,Robust responses of the hydrological cycle to global warming.
knmi,52,Veranderingen in de temperatuur en neerslag door de Noord-Atlantische Oscillatie.,Ecologisch,"Decadal trends in the North Atlantic Oscillation, regional temperatures and precipitation."
knmi,52,Veranderingen in de wereldwijde oppervlaktetemperatuur.,Ecologisch,Global surface temperature change.
knmi,52,Variabiliteit van droogte in Europa.,Ecologisch,Interannual to decadal summer drought variability over Europe and its relationship to global sea surface temperature.
knmi,52,Veranderingen in de stratosferische waterdamp.,Ecologisch,On the influence of stratospheric water vapor changes on the tropospheric circulation.
knmi,52,Verandering in zeewater temperatuur.,Ecologisch,intense coastal rainfall in the Netherlands in response to high sea surface temperatures
knmi,52,Verhoogde frequentie van stormen.,Ecologisch,European storminess: late nineteenth century to present
knmi,52,Verandering in neerslagpatronen.,Ecologisch,an alternative index for the contribution of precipitation on very wet days to the total precipitation
knmi,52,Verandering in luchtcirculatie.,Ecologisch,Weather regime transitions and the interannual variability of the North Atlantic Oscillation
knmi,52,Verhoogde temperatuurvariabiliteit in Europa.,Ecologisch,"European seasonal and annual temperature variability, trends, and extremes since 1500"
knmi,52,Verandering in atmosferische druk en stormactiviteit.,Ecologisch,Evaluation of an air pressure‐based proxy for storm activity
knmi,52,Verandering in de hydrologische cyclus.,Ecologisch,The hydrological cycle in three state-of-the-art reanalyses: Intercomparison and performance analysis
knmi,52,Verandering in de frequentie en intensiteit van cyclonen.,Ecologisch,Trends in Northern Hemisphere surface cyclone frequency and intensity
knmi,52,Verlies van Arctisch zee-ijs.,Ecologisch,Large-scale atmospheric circulation changes are associated with the recent loss of Arctic sea ice.
knmi,52,Toename van extreme neerslag.,Ecologisch,The physical basis for increases in precipitation extremes in simulations of 21st century climate change.
knmi,52,Verhoogde overstromingsrisico's door menselijke activiteiten.,Ecologisch,Anthropogenic greenhouse gas contribution to flood risk in England and Wales in autumn 2000.
knmi,52,Verandering in de atmosferische circulatie.,Ecologisch,Exceptional twentieth-century slowdown in Atlantic Ocean overturning circulation.
knmi,52,Afname van aerosolen en stijging van broeikasgassen.,Ecologisch,How declining aerosols and rising greenhouse gases forced rapid warming in Europe since the 1980s.
knmi,52,Verlies van cloud cover en de effecten daarvan.,Ecologisch,"Trends in aerosol radiative effects over Europe inferred from observed cloud cover, solar “dimming” and solar “brightening”."
knmi,52,Veranderingen in de winterse NAO beïnvloeden het klimaat in de Noord-Atlantische regio.,Ecologisch,A stratospheric influence on the winter NAO and north Atlantic surface climate.
knmi,52,Toename van stormactiviteit in de Noord-Atlantische regio.,Ecologisch,Northeast Atlantic winter storminess 1875-1995 re-analysed.
knmi,52,Variabiliteit van de NAO kan ongebruikelijk zijn in de instrumentele record.,Ecologisch,Is the observed NAO variability during the instrumental record unusual?
knmi,52,Afname van globale straling door global dimming.,Ecologisch,A widespread and significant reduction in global radiation.
knmi,52,Veranderingen in de windforcing boven de Noordzee.,Ecologisch,Decadal changes in the wind forcing over the North Sea.
knmi,52,Veranderingen in de Atlantische circulatie beïnvloeden het klimaat in Noord-Amerika en Europa.,Geopolitiek & militair,Atlantic Ocean forcing of North American and European summer climate.
knmi,52,Veranderingen in de zeewatercirculatie kunnen invloed hebben op het klimaat.,Ecologisch,How much has the North Atlantic Ocean overturning circulation changed in the last 50 years?
knmi,52,De opwarming van West-Europa is sneller dan verwacht.,Ecologisch,Western Europe is warming much faster than expected.
knmi,52,Veranderingen in stormactiviteit in de Noord-Atlantische regio.,Ecologisch,"Trends and variability of storminess in the Northeast Atlantic region, 1874–2007."
knmi,52,Verhoogde zeespiegelvariaties langs de Noordzeekust door stormen.,Ecologisch,Storm-related sea level variations along the North Sea coast as simulated by a high-resolution model 1958–2002.
knmi,52,Extreem hoge waters in Liverpool zijn veranderd sinds 1768.,Ecologisch,Changes in extreme high waters at Liverpool since 1768.
knmi,52,Veranderingen in neerslagextremen in Europa van 1951 tot 2010.,Ecologisch,Trends in European precipitation extremes over 1951–2010.
knmi,52,Toename van oppervlakte-ruwheid leidt tot atmosferische stilling.,Ecologisch,Northern Hemisphere atmospheric stilling partly attributed to an increase in surface roughness.
knmi,52,Veranderingen in de Noord-Atlantische oscillatie door antropogene invloeden.,Ecologisch,A regime view of the North Atlantic Oscillation and its response anthropogenic forcing.
knmi,52,Verandering in zoutgehalte van het zeewater.,Ecologisch,"The chapter discusses past and ongoing change in the following physical variables within the North Sea: temperature, salinity and stratification."
knmi,52,Verandering in stratificatie van het zeewater.,Ecologisch,"The chapter discusses past and ongoing change in the following physical variables within the North Sea: temperature, salinity and stratification."
knmi,52,Verandering in zeestromingen en circulatie.,Ecologisch,The chapter discusses past and ongoing change in the following physical variables within the North Sea: currents and circulation.
knmi,52,Stijging van de gemiddelde zeespiegel.,Ecologisch,The chapter discusses past and ongoing change in the following physical variables within the North Sea: mean sea level.
knmi,52,Extreme zeespiegels door stormvloeden.,Ecologisch,"The chapter discusses past and ongoing change in the following physical variables within the North Sea: extreme sea levels, i.e. contributions from wind-generated waves and storm surges."
knmi,52,Verandering in kooldioxide niveaus in het zeewater.,Ecologisch,"Also considered are carbon dioxide (CO2), pH, and nutrients."
knmi,52,Verandering in pH-niveaus van het zeewater.,Ecologisch,"Also considered are carbon dioxide (CO2), pH, and nutrients."
knmi,52,Verandering in zuurstofniveaus in het zeewater.,Ecologisch,Also considered are oxygen (Sect. 3.7).
knmi,52,Verandering in de hoeveelheid zwevend deeltjes en troebelheid in het zeewater.,Ecologisch,Also considered are suspended particulate matter and turbidity.
knmi,52,Kustafbraak en sedimentatie.,Ecologisch,"Also considered are coastal erosion, sedimentation and morphology."
knmi,52,Verandering in zeewater morfologie.,Ecologisch,"Also considered are coastal erosion, sedimentation and morphology."
knmi,52,Verandering in zeewatertemperatuur in de Noordzee.,Ecologisch,‘core’ temperature has risen by about 0.8 °C since the 1970s
knmi,52,Verandering in zeewaterverhouding in de Noordzee.,Ecologisch,annual average SST derived from six gridded data sets shows relatively cool SST from 1870
knmi,52,Toename van temperatuurvariabiliteit in de Noordzee.,Ecologisch,the long-term decline in SST from the 1940s to 1980s and subsequent marked rise to the early 2000s are widely reported
knmi,52,Afname van de temperatuur in de Noordzee in de jaren 80.,Ecologisch,overall decline to a minimum around 1988 (anomaly about −0.8 °C)
knmi,52,Toename van de zeewater temperatuur in de Fair Isle Current.,Ecologisch,long-term temperature variability in the Fair Isle Current flowing into the North Sea
knmi,52,Verandering in de saliniteit van het zeewater.,Ecologisch,consistent definition of salinity has continued to be a research topic
knmi,52,Stijgende zeewatertemperaturen in de Noordzee.,Ecologisch,The rise in North Sea SST since the 1980s increased from north (trend <0.2 °C decade[−][1]) to south (trend 0.8 °C decade[−][1]; Fig. 3.6; McQuatters-Gollop et al. 2007).
knmi,52,Verhoogde variabiliteit van zeewatertemperaturen.,Ecologisch,"Variability is also large, between years O(1 °C) and longer term (Wiltshire et al. 2008; Meyer et al. 2011; Holt et al. 2012)."
knmi,52,Toename van de zoutgehalte in de Noordzee.,Ecologisch,Salinity has shown a long-term (1958–2003) increase around northern Scotland (Leterme et al. 2008) and (1971–2012) in the northern North Sea.
knmi,52,Verandering in de wintertemperaturen van de Noordzee.,Ecologisch,"The Dutch coastal zone shows a trend of rising SST since 1982 (van Aken 2010), despite a very cold winter in 1996."
knmi,52,Verhoogde temperatuur in de Kattegat en Deense Straten.,Ecologisch,Winter–spring observed SST in the Kattegat and Danish Straits rose by about 1 °C between 1897–1901 and the 1980s.
knmi,52,Variabiliteit in zoutgehalte in kustwateren.,Ecologisch,salinity in the Fair Isle Current shows interannual variability and no clear long-term trend
knmi,52,Invloed van rivierafvoer op zoutgehalte.,Ecologisch,"Coastal regions of the southern North Sea, notably the German Bight, are influenced by fluvial inputs"
knmi,52,Afwezigheid van significante trends in zeewaterzoutgehalte.,Ecologisch,no substantial trends in sea-surface salinity (SSS) for the period 1908–1995
knmi,52,Verandering in zoutgehalte door atmosferische invloeden.,Ecologisch,pulses of surface freshening after intense summer rain increases riverine input
knmi,52,Variabiliteit in stratificatie van mariene ecosystemen.,Ecologisch,Stratification is a key control on shelf-sea marine ecosystems
knmi,52,Interjaarlijkse variabiliteit in thermocline die geen duidelijke trend vertoont.,Ecologisch,the strength of thermal stratification varies interannually (with no clear trend)
knmi,52,Verlenging van het stratificatie-seizoen door temperatuurstijging.,Ecologisch,an average of one day earlier per year
knmi,52,Invloed van neerslag op stratificatie in estuariene gebieden.,Ecologisch,strong short-term and interannual variability in precipitation (hence fluvial inputs)
knmi,52,Variabiliteit van de Atlantische Meridionale Omkering Circulatie (AMOC),Ecologisch,The AMOC probably also varies on decadal time scales
knmi,52,Afname van de Subpolar Gyre sterkte,Ecologisch,"it strengthened overall from the 1960s to the mid-1990s, then decreased"
knmi,52,Weerstand tegen veranderingen in de zeewatertransport naar het noordoosten,Ecologisch,observations show no significant longer-term trend in Atlantic Water transport to the north-east past Scotland and Norway
knmi,52,Veranderingen in de instroom van oceaanwater naar de Noordzee,Ecologisch,"Relative to the long-term mean, results show weaker northern inflow between 1958 and 1988"
knmi,52,Variabiliteit in de uitstromen van de Noordzee,Ecologisch,North Sea outflows and inflows (plus net precipitation minus evaporation) have to balance on a time scale of just a few days
knmi,52,Afname van de instroom van Atlantisch water,Ecologisch,Hjøllo et al. (2009) found a weak trend of −0.005 Sv year[−][1] in modelled Atlantic Water inflows
knmi,52,Veranderingen in de uitstromen van de Baltische Zee,Ecologisch,Baltic Sea outflow variations (modelled freshwater relative to salinity 35.0) correlate with winds
knmi,52,Veranderende zeespiegel door klimaatverandering.,Ecologisch,"Changes in mean sea level (MSL) result from different aspects of climate change (e.g. the melting of land-based ice, thermal expansion of sea water) and climate variability."
knmi,52,Variabiliteit van zeestromingen door meteorologische omstandigheden.,Ecologisch,Mean residual transports are generally smaller than their variability.
knmi,52,Afhankelijkheid van modellen voor zeestromingen.,Technologisch & digitaal,"Reliance is placed on models, which need improvement (in formulation, forcing) for currents other than tides and storm surges."
knmi,52,Beperkte gegevens over zeestromingen en zeespiegelveranderingen.,Technologisch & digitaal,Improvements are needed in observational data (quantity and quality).
knmi,52,Verlies van nauwkeurigheid in zeespiegelmetingen door natuurlijke en antropogene processen.,Ecologisch,Calculation from tide gauge records of changes in ‘geocentric mean sea level’ requires the removal of non-climate contributions to sea level change.
knmi,52,De stijging van de gemiddelde zeespiegel (MSL) in de afgelopen decennia.,Ecologisch,the global average rate of rise estimated for the 20th century was 1.7 mm year[−][1] (Bindoff et al. 2007).
knmi,52,De bijna verdubbeling van de MSL-stijgingssnelheid in de afgelopen twee decennia.,Ecologisch,the rate of MSL rise has almost doubled over the last two decades; Church and White (2011) estimated a global trend of 3.2 ± 0.4 mm year[−][1] for the period 1993–2009.
knmi,52,Regionale variabiliteit in de MSL-trends die kan afwijken van het wereldgemiddelde.,Ecologisch,local trends vary by as much as −10 to +10 mm year[−][1] from the global average value for the period since 1993.
knmi,52,De invloed van verticale landbeweging op de MSL-trends.,Ecologisch,"the influence of vertical land movement (i.e. land uplift in northern Scotland, Norway and Denmark, and land subsidence elsewhere)."
knmi,52,De interjaarlijkse variabiliteit in MSL-tijdreeksen.,Ecologisch,"the interannual variability was found to be much greater along the coastlines of the Netherlands, Germany and Denmark, compared to Norway, the UK east coast and the English Channel."
knmi,52,De inconsistentie in MSL-trends tussen verschillende studies.,Ecologisch,"these results are consistent with those presented by Woodworth et al. (2009a) for the UK (i.e. an AMSL trend of 1.4 ± 0.2 mm year[−][1] for the 20th century), but were significantly different from those presented by Shennan and Woodworth (1992) for the North Sea region."
knmi,52,Extreme zeespiegels vormen een significante bedreiging voor laaggelegen kustgebieden.,Ecologisch,Extreme sea levels pose significant threats (such as flooding and/or erosion) to many of the low-lying coastal areas along the North Sea coast.
knmi,52,Stormvloeden dragen substantieel bij aan de totale zeespiegelvariabiliteit.,Ecologisch,storm surges provide a substantial contribution to the total sea level variability
knmi,52,Veranderingen in de gemiddelde zeewaterstanden zijn het gevolg van stijgende gemiddelde zeespiegel.,Ecologisch,Climatically induced changes in annual mean high water statistics result principally from two different contributions: (i) corresponding changes in MSL
knmi,52,Veranderingen in getijdendynamiek beïnvloeden extreme zeewaterstanden.,Ecologisch,extreme sea levels have also increased as a result of changing tidal dynamics.
knmi,52,Extreme zeestaten kunnen leiden tot verhoogde risico's voor kustgebieden.,Ecologisch,Extreme sea states may become depth-limited in very shallow water and effects such as wave set-up may further raise extreme sea levels.
knmi,52,Verhoogde atmosferische CO2-niveaus.,Ecologisch,increasing atmospheric CO2 levels
knmi,52,Ocean acidification als gevolg van verhoogde CO2-niveaus.,Ecologisch,ocean acidification as a consequence
knmi,52,Eutrofiëring door antropogene veranderingen.,Ecologisch,eutrophication/oligotrophication
knmi,52,Verlies van biogeochemische stabiliteit in de Noordzee door klimaatverandering.,Ecologisch,vulnerability to climate and anthropogenic change
knmi,52,Verhoogde variabiliteit in golfklimaat door klimaatverandering.,Ecologisch,substantial interannual and decadal variability
knmi,52,Veranderingen in primaire productie door klimaatverandering.,Ecologisch,primary production and CO2 fixation are supported by seasonal stratification
knmi,52,Verlies van zuurstof in de waterkolom door antropogene invloeden.,Ecologisch,metabolic dissolved inorganic carbon (DIC) which is either exported to the deeper Atlantic
knmi,52,Veranderingen in de pH-waarde van het zeewater door klimaatverandering.,Ecologisch,pH and CO2 system responses to interannual variability
knmi,52,Verhoogde CO2-concentraties in het water door veranderingen in de circulatiepatronen.,Ecologisch,"higher DIC and lower pH observed in the south, which is under stronger influence of terrestrial waters."
knmi,52,Verandering in de pH-waarden van het water door variaties in de biologische activiteit.,Ecologisch,"higher pH, than in 2005"
knmi,52,Verhoogde stikstofconcentraties door de instroom van stikstofrijke wateren uit de Atlantische Oceaan.,Ecologisch,the influx of total nitrogen from the North Atlantic was much stronger in 1995
knmi,52,Verlies van zuurstof in het water door een net-heterotrofische staat.,Ecologisch,the net-heterotrophic state of the North Sea was stronger than in 1995.
knmi,52,Verandering in de biologische CO2-opname door variaties in stikstoffluxen.,Ecologisch,stronger fixation of inorganic nitrogen and inorganic carbon facilitates stronger biological CO2 uptake.
knmi,52,Verhoogde temperatuur van het water door klimaatverandering.,Ecologisch,higher SST
knmi,52,Verandering in de circulatiepatronen door de Noord-Atlantische Oscillatie (NAO).,Geopolitiek & militair,strong NAO-driven anti-clockwise circulation in the North Sea
knmi,52,Eutrofiëring beïnvloedt de zuurstofniveaus in het water.,Ecologisch,Effects of eutrophication are closely related to the trend of ocean acidification.
knmi,52,Verhoogde atmosferische CO2-niveaus beïnvloeden de zuurstofopnamecapaciteit van het water.,Ecologisch,Long-term trends of increases in atmospheric CO2 and rising temperature have begun to cause tangible effects.
knmi,52,Zuurstofdepletie leidt tot anaerobe ademhalingsprocessen.,Ecologisch,"If oxygen is depleted, NO3 is converted to nitrogen gas (N2)."
knmi,52,Denitrificatie vermindert de beschikbaarheid van reactief stikstof.,Ecologisch,the system is losing reactive nitrogen.
knmi,52,Verandering in de hydrologische cyclus door klimaatverandering beïnvloedt de oppervlaktewater-salinity.,Ecologisch,"Climate change enhances the hydrologic cycle, which means enhanced precipitation and river runoff."
knmi,52,Verhoogde temperatuur van het zeewater vermindert de CO2-opname.,Ecologisch,Thus climate change alone (i.e. rising sea temperature) thermodynamically raises the pCO2 and reduces CO2 uptake in the North Sea.
knmi,52,Verandering in de alkaliniteit van het water beïnvloedt de pH-regulatie.,Ecologisch,the release of alkalinity in denitrification increases the CO2 and pH buffer capacity of the waters.
knmi,52,Verhoogde zuurheid van het oppervlaktewater door klimaatverandering.,Ecologisch,thus increased surface water acidity.
knmi,52,Depletie van zuurstof in mariene ecosystemen.,Ecologisch,Oxygen is of concern because depletion (hypoxia) adversely affects ecosystem functioning and can lead to fish mortality.
knmi,52,Verhoogde temperatuur van het water.,Ecologisch,"Climate change, for example raised water temperatures, is expected to have a negative impact on oxygen concentrations in surface waters."
knmi,52,Verandering in zuurstofconcentraties door stratificatie.,Ecologisch,"Models suggest that it is the effect of warming on stratification, rather than on decreased oxygen solubility or enhanced respiration rates, that is the main physical factor affecting bottom oxygen concentrations."
knmi,52,Interjaarlijkse variabiliteit in zuurstofconcentraties.,Ecologisch,There is strong interannual variability in the oxygen concentration of the bottom water in late summer.
knmi,52,Verhoogde concentraties van zwevend deeltjesmateriaal (SPM).,Ecologisch,"Suspended particulate matter (SPM) is a significant agent of change in morphology, it also transports pollutants, redistributes nutrients and modifies the light climate."
knmi,52,Variabiliteit in rivierafvoer en SPM-lading.,Ecologisch,River discharge and consequently SPM load show strong interannual variability.
knmi,52,Erosie van kliffen die bijdraagt aan SPM-lading.,Ecologisch,"Long-term measurements of annual mean amounts of SPM eroded from English cliffs imply the following average rates: Suffolk, 50 kg s[−][1]; Norfolk, 45 kg s[−][1]; and Holderness, 58 kg s[−][1]."
knmi,52,Verlies van biodiversiteit door sedimentvervuiling in mariene ecosystemen.,Ecologisch,"A zone of high turbidity extends along the Belgian and Dutch coasts, primarily controlled by the Rhine ROFI which transports SPM northwards along the Dutch coast."
knmi,52,Verhoogde sedimentbelasting door rivierafvoer.,Ecologisch,"The plume carries an estimated annual SPM flux of 6.6 million tonnes, from English rivers and cliffs."
knmi,52,Verandering in de waterkwaliteit door seizoensgebonden variabiliteit in SPM-concentraties.,Ecologisch,"Eleveld et al. (2008) found that annual, winter and summer remote sensing SPM observations highlighted the dominant North Sea water types."
knmi,52,Verlies van sediment door erosie in mariene gebieden.,Ecologisch,Fine sediments are deposited when the bed shear stress is less than critical and are typically eroded if the stress exceeds 0.4–0.5 N m[−][2].
knmi,52,Verandering in mariene stratificatie door invloed van getijden.,Ecologisch,The important role played by tides in the surface distribution of SPM in the southern North Sea.
knmi,52,Verhoogde sedimenttransport door thermohaline circulatie.,Ecologisch,Plume currents can be enhanced by the thermohaline circulation (jets associated with tidal mixing fronts).
knmi,52,Verhoogde sedimentconcentraties door lokale resuspensie van sediment na stormen.,Ecologisch,"sudden increase in SPM over the entire coastal zone, suggesting local resuspension of sediment"
knmi,52,"Seizoensgebonden variabiliteit in sedimenttransport, met de meeste transport in de winter.",Ecologisch,most SPM transport occurs in winter when cliff erosion along the English coasts is greatest
knmi,52,Thermische stratificatie beïnvloedt de verticale verdeling van SPM.,Ecologisch,the effect of thermal stratification is particularly noticeable in the East-Anglia Plume
knmi,52,"Haline stratificatie kan zich ontwikkelen tijdens neap tides, wat invloed heeft op sedimenttransport.",Ecologisch,haline stratification can develop at neap tides throughout the year
knmi,52,Interjaarlijkse variabiliteit in sedimentaanvoer en benodigde baggerwerkzaamheden.,Ecologisch,Strong year-to-year variation in sediment supply and required dredging near the mouth of the Rotterdam Waterway
knmi,52,Klimaatverandering kan de aanvoer en distributie van SPM in de kustzone beïnvloeden.,Ecologisch,"Climate-change effects on river discharge, storm tracks and associated winds and waves (intensity) are likely to affect the supply and distribution of SPM"
